linenumber,fec_committee_id,transaction_id,entity_type,organization_name,last_name,first_name,middle_name,prefix,suffix,street_1,street_2,city,state,zip_code,election_code,date,amount,purpose,purpose_clean,memo_code,memo_text,cycle,candidate
SB17,C00840017,500658579,ORG,Scale To Win,NA,NA,NA,NA,NA,13742 Harper St,NA,Santa Ana,CA,927031419,NA,5/3/24,18890.03,Text Messaging Services,Text Messaging Services,NA,NA,2024,Alsobrooks
SB17,C00840017,500661931,ORG,ActBlue Technical Services,NA,NA,NA,NA,NA,366 Summer St,NA,Somerville,MA,021443132,NA,5/15/24,17589.09,Credit Card Fees,Credit Card Fees,NA,NA,2024,Alsobrooks
SB17,C00840017,500662920,ORG,Movement Labs LLC,NA,NA,NA,NA,NA,2045 W Grand Ave,Ste # B,Chicago,IL,606121577,NA,5/21/24,17452.2,Text Messaging Services,Text Messaging Services,NA,NA,2024,Alsobrooks
SB17,C00840017,500656488,ORG,Magnus Pearson Media,NA,NA,NA,NA,NA,311 Wolfe St,NA,Alexandria,VA,223143725,NA,4/29/24,17000,Media Production,Media Production,NA,NA,2024,Alsobrooks
SB17,C00840017,500673506,ORG,Gusto,NA,NA,NA,NA,NA,525 20Th St,NA,San Francisco,CA,941074345,NA,6/27/24,16666.24,Payroll Taxes,Payroll Taxes,NA,NA,2024,Alsobrooks
SB17,C00840017,500661942,ORG,Gusto,NA,NA,NA,NA,NA,525 20Th St,NA,San Francisco,CA,941074345,NA,5/13/24,16261.19,Payroll Taxes,Payroll Taxes,NA,NA,2024,Alsobrooks
SB17,C00840017,500656451,ORG,Gusto,NA,NA,NA,NA,NA,525 20Th St,NA,San Francisco,CA,941074345,NA,4/29/24,16261.15,Payroll Taxes,Payroll Taxes,NA,NA,2024,Alsobrooks
SB17,C00840017,500662921,ORG,Scale To Win,NA,NA,NA,NA,NA,13742 Harper St,NA,Santa Ana,CA,927031419,NA,5/21/24,16257.61,Text Messaging Services,Text Messaging Services,NA,NA,2024,Alsobrooks
SB17,C00840017,500673503,ORG,Gusto,NA,NA,NA,NA,NA,525 20Th St,NA,San Francisco,CA,941074345,NA,6/13/24,15524.95,Payroll Taxes,Payroll Taxes,NA,NA,2024,Alsobrooks
SB17,C00840017,500673459,ORG,Break Something Inc,NA,NA,NA,NA,NA,1380 Monroe St NW,# 409,Washington,DC,200103452,NA,6/7/24,15000,Digital Consulting,Digital Consulting,NA,NA,2024,Alsobrooks
SB17,C00840017,500662927,ORG,"Blue Wave Political Partners, LLC",NA,NA,NA,NA,NA,122 C St NW,Ste 360,Washington,DC,200012149,NA,5/21/24,15000,Compliance Consulting,Compliance Consulting,NA,NA,2024,Alsobrooks
SB17,C00840017,500673493,PAC,EMILYS LIST,NA,NA,NA,NA,NA,1800 M St NW,Ste 375N,Washington,DC,200365862,NA,6/26/24,14604.75,Direct Mail Production,Direct Mail Services,NA,NA,2024,Alsobrooks
SB17,C00840017,500673445,ORG,ActBlue Technical Services,NA,NA,NA,NA,NA,366 Summer St,NA,Somerville,MA,021443132,NA,6/30/24,13570.84,Credit Card Fees,Credit Card Fees,NA,NA,2024,Alsobrooks
SB17,C00840017,500661939,ORG,Break Something Inc,NA,NA,NA,NA,NA,1380 Monroe St NW,# 409,Washington,DC,200103452,NA,5/15/24,13400,Text Messaging Services,Text Messaging Services,NA,NA,2024,Alsobrooks
SB17,C00840017,500662936,ORG,Hart Research Associates,NA,NA,NA,NA,NA,1250 Connecticut Ave NW,Ste 530,Washington,DC,200362603,NA,5/21/24,12500,Research Consulting,Research Consulting,NA,NA,2024,Alsobrooks
SB17,C00840017,500662935,ORG,Hart Research Associates,NA,NA,NA,NA,NA,1250 Connecticut Ave NW,Ste 530,Washington,DC,200362603,NA,5/21/24,12500,Research Consulting,Research Consulting,NA,NA,2024,Alsobrooks
SB17,C00840017,500659785,ORG,Wavelength Strategy LLC,NA,NA,NA,NA,NA,712 H St NE,Unit 526,Washington,DC,200023627,NA,5/6/24,12500,Online Advertising,Online Advertising,NA,NA,2024,Alsobrooks
SB17,C00840017,500656455,ORG,Wavelength Strategy LLC,NA,NA,NA,NA,NA,712 H St NE,Unit 526,Washington,DC,200023627,NA,4/29/24,12500,Online Advertising,Online Advertising,NA,NA,2024,Alsobrooks
SB17,C00840017,500673705,IND,NA,O'Connell,Sheila,NA,NA,NA,3916 Washington St,NA,Kensington,MD,208953933,NA,5/30/24,12302.75,Salary,Salary,X,*,2024,Alsobrooks
SB17,C00840017,500656453,ORG,The Pivot Group Inc,NA,NA,NA,NA,NA,712 H St NE,Unit 606,Washington,DC,200023627,NA,4/26/24,12150,Printing,Printing,NA,NA,2024,Alsobrooks
SB17,C00840017,500673462,ORG,Break Something Inc,NA,NA,NA,NA,NA,1380 Monroe St NW,# 409,Washington,DC,200103452,NA,6/7/24,12000,Text Messaging Services,Text Messaging Services,NA,NA,2024,Alsobrooks
SB17,C00840017,500662932,ORG,NAI The Michael Companies Inc,NA,NA,NA,NA,NA,10100 Business Pkwy,NA,Lanham,MD,207061802,NA,5/21/24,10000,Office Rent,Office Rent,NA,NA,2024,Alsobrooks
SB17,C00840017,500658550,ORG,Break Something Inc,NA,NA,NA,NA,NA,1380 Monroe St NW,# 409,Washington,DC,200103452,NA,4/30/24,10000,Digital Consulting,Digital Consulting,NA,NA,2024,Alsobrooks
SB17,C00840017,500658555,ORG,Venable LLP,NA,NA,NA,NA,NA,750 E Pratt St,Ste 900,Baltimore,MD,212023157,NA,4/29/24,10000,Legal Consulting,Legal Consulting,NA,NA,2024,Alsobrooks
SB17,C00840017,500662905,ORG,Break Something Inc,NA,NA,NA,NA,NA,1380 Monroe St NW,# 409,Washington,DC,200103452,NA,5/21/24,10000,Digital Consulting,Digital Consulting,NA,NA,2024,Alsobrooks
SB17,C00840017,500656448,ORG,Break Something Inc,NA,NA,NA,NA,NA,1380 Monroe St NW,# 409,Washington,DC,200103452,NA,4/26/24,10000,Online Advertising,Online Advertising,NA,NA,2024,Alsobrooks
SB17,C00840017,500673444,ORG,ActBlue Technical Services,NA,NA,NA,NA,NA,366 Summer St,NA,Somerville,MA,021443132,NA,6/23/24,9313.08,Credit Card Fees,Credit Card Fees,NA,NA,2024,Alsobrooks
SB17,C00840017,500663107,ORG,ActBlue Technical Services,NA,NA,NA,NA,NA,366 Summer St,NA,Somerville,MA,021443132,NA,5/26/24,9161.66,Credit Card Fees,Credit Card Fees,NA,NA,2024,Alsobrooks
SB17,C00840017,500661933,ORG,ActBlue Technical Services,NA,NA,NA,NA,NA,366 Summer St,NA,Somerville,MA,021443132,NA,5/19/24,9015.09,Credit Card Fees,Credit Card Fees,NA,NA,2024,Alsobrooks
SB17,C00840017,500656454,ORG,The Pivot Group Inc,NA,NA,NA,NA,NA,712 H St NE,Unit 606,Washington,DC,200023627,NA,4/26/24,8560,Printing,Printing,NA,NA,2024,Alsobrooks
SB17,C00840017,500673567,ORG,The Pivot Group Inc,NA,NA,NA,NA,NA,712 H St NE,Unit 606,Washington,DC,200023627,NA,5/30/24,8560,Printing,Printing,NA,NA,2024,Alsobrooks
SB17,C00840017,500661944,ORG,"Rice Consulting, LLC",NA,NA,NA,NA,NA,17 W Courtland St,Ste 210,Bel Air,MD,210143737,NA,5/18/24,8422.62,Fundraising Consulting,Fundraising,NA,NA,2024,Alsobrooks
SB17,C00840017,500673443,ORG,ActBlue Technical Services,NA,NA,NA,NA,NA,366 Summer St,NA,Somerville,MA,021443132,NA,6/16/24,8269.82,Credit Card Fees,Credit Card Fees,NA,NA,2024,Alsobrooks
SB17,C00840017,500673536,ORG,"Rice Consulting, LLC",NA,NA,NA,NA,NA,17 W Courtland St,Ste 210,Bel Air,MD,210143737,NA,6/2/24,8000,Fundraising Consulting,Fundraising,NA,NA,2024,Alsobrooks
SB17,C00840017,500673537,ORG,"Rice Consulting, LLC",NA,NA,NA,NA,NA,17 W Courtland St,Ste 210,Bel Air,MD,210143737,NA,6/2/24,8000,Fundraising Consulting,Fundraising,NA,NA,2024,Alsobrooks
SB17,C00840017,500656452,ORG,Katz Watson Group Inc,NA,NA,NA,NA,NA,8006 Ellingson Dr,NA,Chevy Chase,MD,208153030,NA,4/29/24,8000,Fundraising Consulting,Fundraising,NA,NA,2024,Alsobrooks
SB17,C00840017,500661934,ORG,Break Something Inc,NA,NA,NA,NA,NA,1380 Monroe St NW,# 409,Washington,DC,200103452,NA,5/14/24,8000,Online Advertising,Online Advertising,NA,NA,2024,Alsobrooks
SB17,C00840017,500658565,ORG,Campaign Finance Consultants Inc,NA,NA,NA,NA,NA,750 1St St NE,Ste 1070,Washington,DC,200028008,NA,5/2/24,7776.89,Fundraising Consulting,Fundraising,NA,NA,2024,Alsobrooks
SB17,C00840017,500656447,ORG,"Blue Wave Political Partners, LLC",NA,NA,NA,NA,NA,122 C St NW,Ste 360,Washington,DC,200012149,NA,4/29/24,7500,Compliance Consulting,Compliance Consulting,NA,NA,2024,Alsobrooks
SB17,C00840017,500662940,ORG,"NGP VAN, Inc.",NA,NA,NA,NA,NA,1445 New York Ave NW,# 20,Washington,DC,200052134,NA,5/21/24,7200,Software Rental,Software Rental,NA,NA,2024,Alsobrooks
SB17,C00840017,500658576,ORG,"NGP VAN, Inc.",NA,NA,NA,NA,NA,1445 New York Ave NW,# 20,Washington,DC,200052134,NA,5/4/24,7200,Software Rental,Software Rental,NA,NA,2024,Alsobrooks
SB17,C00840017,500673442,ORG,ActBlue Technical Services,NA,NA,NA,NA,NA,366 Summer St,NA,Somerville,MA,021443132,NA,6/9/24,7022.79,Credit Card Fees,Credit Card Fees,NA,NA,2024,Alsobrooks
SB17,C00840017,500673441,ORG,ActBlue Technical Services,NA,NA,NA,NA,NA,366 Summer St,NA,Somerville,MA,021443132,NA,6/2/24,6999.87,Credit Card Fees,Credit Card Fees,NA,NA,2024,Alsobrooks
SB17,C00840017,500661930,ORG,ActBlue Technical Services,NA,NA,NA,NA,NA,366 Summer St,NA,Somerville,MA,021443132,NA,5/14/24,6529.34,Credit Card Fees,Credit Card Fees,NA,NA,2024,Alsobrooks
SB17,C00840017,500662922,ORG,Martins Catering,NA,NA,NA,NA,NA,7400 Greenway Center Dr,NA,Greenbelt,MD,207703503,NA,5/21/24,6454,Catering,Catering,NA,NA,2024,Alsobrooks
SB17,C00840017,500673610,IND,NA,Lounsbury,Connor,NA,NA,NA,255 I St NE,# 413,Washington,DC,200024411,NA,5/30/24,6000,Communication Consulting,Communication Consulting,NA,NA,2024,Alsobrooks
SB17,C00840017,500673463,ORG,Break Something Inc,NA,NA,NA,NA,NA,1380 Monroe St NW,# 409,Washington,DC,200103452,NA,6/27/24,6000,Text Messaging Services,Text Messaging Services,NA,NA,2024,Alsobrooks
SB17,C00840017,500662929,ORG,Venable LLP,NA,NA,NA,NA,NA,750 E Pratt St,Ste 900,Baltimore,MD,212023157,NA,5/21/24,5844.11,Legal Consulting,Legal Consulting,NA,NA,2024,Alsobrooks
SB17,C00840017,500658566,ORG,CareFirst Health Insurance,NA,NA,NA,NA,NA,840 1St St NE,NA,Washington,DC,200650003,NA,5/2/24,5836.88,Health Insurance,Health Insurance,NA,NA,2024,Alsobrooks
SB17,C00840017,500673467,ORG,CareFirst Health Insurance,NA,NA,NA,NA,NA,840 1St St NE,NA,Washington,DC,200650003,NA,6/3/24,5836.88,Health Insurance,Health Insurance,NA,NA,2024,Alsobrooks
SB17,C00840017,500658553,ORG,Paxton Education Consulting,NA,NA,NA,NA,NA,336 E 22Nd St,NA,Baltimore,MD,212185830,NA,4/30/24,5500,Strategy Consulting,Strategy Consulting,NA,NA,2024,Alsobrooks
SB17,C00840017,500659771,ORG,Color Pro Graphics,NA,NA,NA,NA,NA,1441 Mccormick Dr,Ste 1000,Upper Marlboro,MD,207745473,NA,5/10/24,5429.32,Printing,Printing,NA,NA,2024,Alsobrooks
SB17,C00840017,500677569,ORG,Katz Watson Group Inc,NA,NA,NA,NA,NA,8006 Ellingson Dr,NA,Chevy Chase,MD,208153030,NA,6/2/24,5415.51,Fundraising Consulting,Fundraising,NA,NA,2024,Alsobrooks
SB17,C00840017,500662931,ORG,Venable LLP,NA,NA,NA,NA,NA,750 E Pratt St,Ste 900,Baltimore,MD,212023157,NA,5/21/24,5000,Legal Consulting,Legal Consulting,NA,NA,2024,Alsobrooks
SB17,C00840017,500673521,ORG,LSH GE Gateway 2 LLC,NA,NA,NA,NA,NA,1829 Reisterstown Rd,Ste 300,Pikesville,MD,212087106,NA,5/30/24,5000,Office Rent,Office Rent,NA,NA,2024,Alsobrooks
SB17,C00840017,500658574,ORG,NAI The Michael Companies Inc,NA,NA,NA,NA,NA,10100 Business Pkwy,NA,Lanham,MD,207061802,NA,5/1/24,5000,Office Rent,Office Rent,NA,NA,2024,Alsobrooks
SB17,C00840017,500662937,ORG,Nielsen Consulting LLC,NA,NA,NA,NA,NA,621 11Th St NE,NA,Washington,DC,200025317,NA,5/21/24,5000,Research Consulting,Research Consulting,NA,NA,2024,Alsobrooks
SB17,C00840017,500677571,ORG,Nielsen Consulting LLC,NA,NA,NA,NA,NA,621 11Th St NE,NA,Washington,DC,200025317,NA,5/21/24,5000,Research Consulting,Research Consulting,NA,NA,2024,Alsobrooks
SB17,C00840017,500673471,ORG,Cavendish Consulting LLC,NA,NA,NA,NA,NA,3609 Denmark Pl,NA,Bowie,MD,207211200,NA,6/23/24,5000,Political Consulting,Political Consulting,NA,NA,2024,Alsobrooks
SB17,C00840017,500673706,IND,NA,O'Connell,Sheila,NA,NA,NA,3916 Washington St,NA,Kensington,MD,208953933,NA,6/13/24,4971.76,Salary,Salary,X,*,2024,Alsobrooks
SB17,C00840017,500673704,IND,NA,O'Connell,Sheila,NA,NA,NA,3916 Washington St,NA,Kensington,MD,208953933,NA,6/27/24,4971.76,Salary,Salary,X,*,2024,Alsobrooks
SB17,C00840017,500661924,IND,NA,Sloan,David,Augustine,NA,Jr,PO Box 3583,NA,Capitol Heights,MD,207913583,NA,5/13/24,4660.25,Salary,Salary,X,*,2024,Alsobrooks
SB17,C00840017,500656466,IND,NA,Sloan,David,Augustine,NA,Jr,PO Box 3583,NA,Capitol Heights,MD,207913583,NA,4/29/24,4660.25,Salary,Salary,X,*,2024,Alsobrooks
SB17,C00840017,500662942,ORG,Wave Break Digital LLC,NA,NA,NA,NA,NA,1380 Monroe St NW,# 409,Washington,DC,200103452,NA,5/21/24,4555.12,Website Services,Website Services,NA,NA,2024,Alsobrooks
SB17,C00840017,500656460,IND,NA,Cooper,Daniel,NA,NA,NA,1101 Mercantile Ln,Ste 100,Upper Marlboro,MD,207745360,NA,4/29/24,4364.78,Salary,Salary,X,*,2024,Alsobrooks
SB17,C00840017,500673674,IND,NA,Cooper,Daniel,NA,NA,NA,1101 Mercantile Ln,Ste 100,Upper Marlboro,MD,207745360,NA,5/30/24,4364.78,Salary,Salary,X,*,2024,Alsobrooks
SB17,C00840017,500673673,IND,NA,Cooper,Daniel,NA,NA,NA,1101 Mercantile Ln,Ste 100,Upper Marlboro,MD,207745360,NA,6/27/24,4364.78,Salary,Salary,X,*,2024,Alsobrooks
SB17,C00840017,500673675,IND,NA,Cooper,Daniel,NA,NA,NA,1101 Mercantile Ln,Ste 100,Upper Marlboro,MD,207745360,NA,6/13/24,4364.77,Salary,Salary,X,*,2024,Alsobrooks
SB17,C00840017,500661918,IND,NA,Cooper,Daniel,NA,NA,NA,1101 Mercantile Ln,Ste 100,Upper Marlboro,MD,207745360,NA,5/13/24,4364.77,Salary,Salary,X,*,2024,Alsobrooks
SB17,C00840017,500662923,ORG,Capitol Percussion LLC,NA,NA,NA,NA,NA,5650 Rivertech Ct,Ste Q,Riverdale,MD,207371245,NA,5/21/24,4020.05,Event Entertainment,Event Entertainment,NA,NA,2024,Alsobrooks
SB17,C00840017,500673520,ORG,Katz Watson Group Inc,NA,NA,NA,NA,NA,8006 Ellingson Dr,NA,Chevy Chase,MD,208153030,NA,6/24/24,4000,Fundraising Consulting,Fundraising,NA,NA,2024,Alsobrooks
SB17,C00840017,500662925,ORG,Campaign Finance Consultants Inc,NA,NA,NA,NA,NA,750 1St St NE,Ste 1070,Washington,DC,200028008,NA,5/21/24,4000,Fundraising Consulting,Fundraising,NA,NA,2024,Alsobrooks
SB17,C00840017,500659778,ORG,Scale To Win,NA,NA,NA,NA,NA,13742 Harper St,NA,Santa Ana,CA,927031419,NA,5/7/24,3785.6,Text Messaging Services,Text Messaging Services,NA,NA,2024,Alsobrooks
SB17,C00840017,500662941,ORG,Clipbook,NA,NA,NA,NA,NA,800 P St NW,Unit 703,Washington,DC,200013382,NA,5/21/24,3540,Software Rental,Software Rental,NA,NA,2024,Alsobrooks
SB17,C00840017,500663072,ORG,Country Club At Woodmore,NA,NA,NA,NA,NA,12320 Pleasant Prospect Rd,NA,Bowie,MD,207212515,NA,5/18/24,3515.51,Site Rental/Catering,Site Rental,X,*,2024,Alsobrooks
SB17,C00840017,500673696,IND,NA,Meier,Nicholas,NA,NA,NA,1101 Mercantile Ln,Ste 100,Upper Marlboro,MD,207745360,NA,6/13/24,3510.4,Salary,Salary,X,*,2024,Alsobrooks
SB17,C00840017,500673694,IND,NA,Meier,Nicholas,NA,NA,NA,1101 Mercantile Ln,Ste 100,Upper Marlboro,MD,207745360,NA,6/27/24,3510.4,Salary,Salary,X,*,2024,Alsobrooks
SB17,C00840017,500661919,IND,NA,Ford,Gina,Regina,NA,NA,11319 Kettering Ter,NA,Upper Marlboro,MD,207741567,NA,5/13/24,3473.97,Salary,Salary,X,*,2024,Alsobrooks
SB17,C00840017,500656461,IND,NA,Ford,Gina,Regina,NA,NA,11319 Kettering Ter,NA,Upper Marlboro,MD,207741567,NA,4/29/24,3473.97,Salary,Salary,X,*,2024,Alsobrooks
SB17,C00840017,500673677,IND,NA,Ford,Gina,Regina,NA,NA,11319 Kettering Ter,NA,Upper Marlboro,MD,207741567,NA,6/13/24,3473.97,Salary,Salary,X,*,2024,Alsobrooks
SB17,C00840017,500673676,IND,NA,Ford,Gina,Regina,NA,NA,11319 Kettering Ter,NA,Upper Marlboro,MD,207741567,NA,5/30/24,3473.97,Salary,Salary,X,*,2024,Alsobrooks
SB17,C00840017,500673678,IND,NA,Ford,Gina,Regina,NA,NA,11319 Kettering Ter,NA,Upper Marlboro,MD,207741567,NA,6/27/24,3473.97,Salary,Salary,X,*,2024,Alsobrooks
SB20A,C00840017,500673636,IND,NA,Jonas,Rosalyn,Levy,NA,NA,7770 Norfolk Ave,Apt 1308,Bethesda,MD,208147086,NA,6/2/24,3275,Contribution Refund,Contribution Refund,NA,NA,2024,Alsobrooks
SB17,C00840017,500673525,ORG,"NGP VAN, Inc.",NA,NA,NA,NA,NA,1445 New York Ave NW,# 20,Washington,DC,200052134,NA,6/12/24,3125,Software Rental,Software Rental,NA,NA,2024,Alsobrooks
SB17,C00840017,500658575,ORG,"NGP VAN, Inc.",NA,NA,NA,NA,NA,1445 New York Ave NW,# 20,Washington,DC,200052134,NA,5/3/24,3125,Software Rental,Software Rental,NA,NA,2024,Alsobrooks
SB17,C00840017,500656449,ORG,Break Something Inc,NA,NA,NA,NA,NA,1380 Monroe St NW,# 409,Washington,DC,200103452,NA,4/26/24,3000,Text Messaging Services,Text Messaging Services,NA,NA,2024,Alsobrooks
SB17,C00840017,500662909,ORG,Wavelength Strategy LLC,NA,NA,NA,NA,NA,712 H St NE,Unit 526,Washington,DC,200023627,NA,5/21/24,3000,Media Production,Media Production,NA,NA,2024,Alsobrooks
SB20A,C00840017,500673663,IND,NA,London,Charles,NA,NA,NA,501 S Plymouth Blvd,NA,Los Angeles,CA,900204709,NA,6/30/24,2900,Contribution Refund,Contribution Refund,NA,NA,2024,Alsobrooks
SB20A,C00840017,500661870,IND,NA,Wiley,David,NA,NA,NA,1506 Hollyhill Pl,NA,Blacksburg,VA,240606200,NA,5/19/24,2900,Contribution Refund,Contribution Refund,NA,NA,2024,Alsobrooks
SB20A,C00840017,500673658,IND,NA,Cunningham,Carolyn,NA,NA,NA,2514 E Limepit Rd,NA,Kingman,IN,479528030,NA,6/23/24,2900,Contribution Refund,Contribution Refund,NA,NA,2024,Alsobrooks
SB17,C00840017,500662914,ORG,Bumperactive,NA,NA,NA,NA,NA,5903 Burnet Rd,NA,Austin,TX,787573224,NA,5/21/24,2899.68,Printing,Printing,NA,NA,2024,Alsobrooks
SB17,C00840017,500673679,IND,NA,Henderson,Oscar,NA,NA,NA,1101 Mercantile Ln,Ste 100,Upper Marlboro,MD,207745360,NA,6/27/24,2895.96,Salary,Salary,X,*,2024,Alsobrooks
SB17,C00840017,500673695,IND,NA,Meier,Nicholas,NA,NA,NA,1101 Mercantile Ln,Ste 100,Upper Marlboro,MD,207745360,NA,5/30/24,2895.96,Salary,Salary,X,*,2024,Alsobrooks
SB17,C00840017,500673680,IND,NA,Henderson,Oscar,NA,NA,NA,1101 Mercantile Ln,Ste 100,Upper Marlboro,MD,207745360,NA,5/30/24,2895.96,Salary,Salary,X,*,2024,Alsobrooks
SB17,C00840017,500673681,IND,NA,Henderson,Oscar,NA,NA,NA,1101 Mercantile Ln,Ste 100,Upper Marlboro,MD,207745360,NA,6/13/24,2895.96,Salary,Salary,X,*,2024,Alsobrooks
SB17,C00840017,500661922,IND,NA,Meier,Nicholas,NA,NA,NA,1101 Mercantile Ln,Ste 100,Upper Marlboro,MD,207745360,NA,5/13/24,2895.96,Salary,Salary,X,*,2024,Alsobrooks
SB17,C00840017,500661920,IND,NA,Henderson,Oscar,NA,NA,NA,1101 Mercantile Ln,Ste 100,Upper Marlboro,MD,207745360,NA,5/13/24,2895.96,Salary,Salary,X,*,2024,Alsobrooks
SB17,C00840017,500656464,IND,NA,Meier,Nicholas,NA,NA,NA,1101 Mercantile Ln,Ste 100,Upper Marlboro,MD,207745360,NA,4/29/24,2895.96,Salary,Salary,X,*,2024,Alsobrooks
SB17,C00840017,500656462,IND,NA,Henderson,Oscar,NA,NA,NA,1101 Mercantile Ln,Ste 100,Upper Marlboro,MD,207745360,NA,4/29/24,2895.96,Salary,Salary,X,*,2024,Alsobrooks
SB17,C00840017,500661927,IND,NA,Winfield,Rachel,NA,NA,NA,1101 Mercantile Ln,Ste 100,Upper Marlboro,MD,207745360,NA,5/13/24,2880.96,Salary,Salary,X,*,2024,Alsobrooks
SB17,C00840017,500656469,IND,NA,Winfield,Rachel,NA,NA,NA,1101 Mercantile Ln,Ste 100,Upper Marlboro,MD,207745360,NA,4/29/24,2880.96,Salary,Salary,X,*,2024,Alsobrooks
SB17,C00840017,500656463,IND,NA,Hines,Jordan,NA,NA,NA,1101 Mercantile Ln,Ste 100,Upper Marlboro,MD,207745360,NA,4/29/24,2855.54,Salary,Salary,X,*,2024,Alsobrooks
