County,"PARTYCODE",Day1,%Day1,Day2,%Day2,Day3,%Day3,Day4,% Day4,Day5,%Day5,Day6,%Day6,Day7,%Day7,Day8,%Day8,Total,%Total,"EligibleActives"
"",LIB,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
"",NLM,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
"",OTH,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
"",REP,320,0.93%,353,1.03%,217,0.63%,176,0.51%,358,1.04%,413,1.20%,446,1.30%,541,1.57%,"2,824",8.21%,"34,380"
"",UNA,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
"",TOTAL,387,0.72%,417,0.78%,253,0.47%,228,0.43%,456,0.85%,501,0.94%,533,1.00%,675,1.26%,"3,450",6.46%,"53,427"
Charles,DEM,279,0.37%,319,0.43%,160,0.21%,169,0.23%,368,0.49%,445,0.60%,464,0.62%,830,1.11%,"3,034",4.06%,"74,650"
"",LIB,0,0.00%,0,0.00%,1,0.23%,0,0.00%,0,0.00%,0,0.00%,1,0.23%,2,0.46%,4,0.91%,439
County,"PARTYCODE",Day1,%Day1,Day2,%Day2,Day3,%Day3,Day4,% Day4,Day5,%Day5,Day6,%Day6,Day7,%Day7,Day8,%Day8,Total,%Total,"EligibleActives"
Charles,NLM,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,21
"",OTH,0,0.00%,1,0.08%,0,0.00%,0,0.00%,0,0.00%,5,0.41%,0,0.00%,2,0.17%,8,0.66%,"1,207"
"",REP,114,0.50%,125,0.54%,61,0.27%,65,0.28%,153,0.67%,153,0.67%,174,0.76%,198,0.86%,"1,043",4.53%,"23,001"
"",UNA,12,0.05%,9,0.04%,9,0.04%,14,0.06%,17,0.07%,20,0.08%,24,0.10%,29,0.12%,134,0.56%,"24,120"
"",TOTAL,405,0.33%,454,0.37%,231,0.19%,248,0.20%,538,0.44%,623,0.50%,663,0.54%,"1,061",0.86%,"4,223",3.42%,"123,438"
Dorchester,DEM,58,0.61%,51,0.54%,16,0.17%,18,0.19%,52,0.55%,56,0.59%,54,0.57%,61,0.64%,366,3.86%,"9,490"
"",LIB,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,46
"",NLM,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,1
"",OTH,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,94
"",REP,73,0.79%,69,0.75%,24,0.26%,29,0.31%,66,0.72%,62,0.67%,54,0.59%,93,1.01%,470,5.09%,"9,225"
"",UNA,1,0.06%,0,0.00%,1,0.06%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,2,0.12%,4,0.24%,"1,653"
"",TOTAL,132,0.64%,120,0.59%,41,0.20%,47,0.23%,118,0.58%,118,0.58%,108,0.53%,156,0.76%,840,4.10%,"20,509"
Frederick,DEM,283,0.37%,222,0.29%,230,0.30%,219,0.28%,295,0.38%,352,0.45%,366,0.47%,581,0.75%,"2,548",3.29%,"77,403"
"",LIB,0,0.00%,0,0.00%,0,0.00%,0,0.00%,1,0.08%,0,0.00%,0,0.00%,0,0.00%,1,0.08%,"1,247"
"",NLM,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,38
"",OTH,2,0.12%,1,0.06%,1,0.06%,0,0.00%,1,0.06%,4,0.23%,2,0.12%,0,0.00%,11,0.64%,"1,714"
"",REP,362,0.53%,334,0.49%,205,0.30%,217,0.32%,312,0.46%,346,0.51%,385,0.57%,548,0.81%,"2,709",4.00%,"67,762"
"",UNA,45,0.09%,28,0.05%,36,0.07%,29,0.06%,43,0.08%,32,0.06%,55,0.11%,68,0.13%,336,0.65%,"52,041"
"",TOTAL,692,0.35%,585,0.29%,472,0.24%,465,0.23%,652,0.33%,734,0.37%,808,0.40%,"1,197",0.60%,"5,605",2.80%,"200,205"
Garrett,DEM,34,0.97%,30,0.85%,20,0.57%,8,0.23%,25,0.71%,28,0.80%,34,0.97%,33,0.94%,212,6.02%,"3,522"
"",LIB,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
"",NLM,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
"",OTH,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
"",REP,120,0.88%,92,0.67%,66,0.48%,62,0.45%,115,0.84%,132,0.97%,107,0.78%,208,1.52%,902,6.60%,"13,660"
"",UNA,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
"",TOTAL,154,0.90%,122,0.71%,86,0.50%,70,0.41%,140,0.81%,160,0.93%,141,0.82%,241,1.40%,"1,114",6.48%,"17,182"
Harford,DEM,320,0.50%,373,0.58%,188,0.29%,158,0.25%,340,0.53%,463,0.72%,460,0.72%,606,0.94%,"2,908",4.53%,"64,176"
"",LIB,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
"",NLM,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
"",OTH,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
"",REP,588,0.73%,629,0.78%,332,0.41%,302,0.38%,734,0.91%,775,0.97%,680,0.85%,908,1.13%,"4,948",6.16%,"80,295"
"",UNA,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
"",TOTAL,908,0.63%,"1,002",0.69%,520,0.36%,460,0.32%,"1,074",0.74%,"1,238",0.86%,"1,140",0.79%,"1,514",1.05%,"7,856",5.44%,"144,471"
County,"PARTYCODE",Day1,%Day1,Day2,%Day2,Day3,%Day3,Day4,% Day4,Day5,%Day5,Day6,%Day6,Day7,%Day7,Day8,%Day8,Total,%Total,"EligibleActives"
Howard,DEM,695,0.57%,745,0.62%,506,0.42%,573,0.47%,783,0.65%,852,0.70%,976,0.81%,"1,519",1.26%,"6,649",5.50%,"120,966"
"",LIB,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,2,0.35%,0,0.00%,1,0.18%,3,0.53%,570
"",NLM,1,4.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,1,4.00%,25
"",OTH,0,0.00%,2,0.14%,0,0.00%,2,0.14%,3,0.22%,1,0.07%,0,0.00%,5,0.36%,13,0.94%,"1,389"
"",REP,310,0.64%,277,0.58%,182,0.38%,187,0.39%,326,0.68%,356,0.74%,335,0.70%,563,1.17%,"2,536",5.27%,"48,103"
"",UNA,44,0.11%,52,0.14%,49,0.13%,48,0.12%,36,0.09%,52,0.14%,42,0.11%,104,0.27%,427,1.11%,"38,466"
"",TOTAL,"1,050",0.50%,"1,076",0.51%,737,0.35%,810,0.39%,"1,148",0.55%,"1,263",0.60%,"1,353",0.65%,"2,192",1.05%,"9,629",4.60%,"209,519"
Kent,DEM,66,1.15%,63,1.10%,23,0.40%,23,0.40%,65,1.13%,57,0.99%,61,1.06%,87,1.51%,445,7.74%,"5,752"
"",LIB,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
"",NLM,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
"",OTH,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
"",REP,37,0.70%,38,0.72%,36,0.68%,25,0.47%,50,0.95%,50,0.95%,48,0.91%,52,0.98%,336,6.36%,"5,284"
"",UNA,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
"",TOTAL,103,0.93%,101,0.92%,59,0.53%,48,0.43%,115,1.04%,107,0.97%,109,0.99%,139,1.26%,781,7.08%,"11,036"
Montgomery,DEM,"1,448",0.36%,"1,513",0.37%,"1,234",0.30%,"1,290",0.32%,"1,938",0.48%,"2,048",0.51%,"2,579",0.64%,"3,903",0.96%,"15,953",3.94%,"404,689"
"",LIB,1,0.04%,1,0.04%,0,0.00%,0,0.00%,2,0.08%,1,0.04%,3,0.13%,4,0.17%,12,0.50%,"2,380"
"",NLM,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,121
"",OTH,3,0.04%,2,0.03%,3,0.04%,5,0.07%,8,0.11%,7,0.10%,7,0.10%,9,0.13%,44,0.61%,"7,162"
"",REP,461,0.47%,378,0.39%,241,0.25%,232,0.24%,435,0.44%,448,0.46%,511,0.52%,829,0.85%,"3,535",3.61%,"97,939"
"",UNA,87,0.05%,77,0.05%,68,0.04%,68,0.04%,84,0.05%,86,0.05%,115,0.07%,231,0.14%,816,0.48%,"168,540"
"",TOTAL,"2,000",0.29%,"1,971",0.29%,"1,546",0.23%,"1,595",0.23%,"2,467",0.36%,"2,590",0.38%,"3,215",0.47%,"4,976",0.73%,"20,360",2.99%,"680,831"
Prince George's,DEM,"2,135",0.47%,"2,285",0.50%,"1,068",0.24%,"1,236",0.27%,"2,740",0.60%,"2,927",0.65%,"3,513",0.77%,"6,003",1.32%,"21,907",4.83%,"453,370"
"",LIB,1,0.13%,0,0.00%,0,0.00%,0,0.00%,1,0.13%,3,0.40%,1,0.13%,0,0.00%,6,0.81%,743
"",NLM,1,2.63%,0,0.00%,0,0.00%,0,0.00%,1,2.63%,0,0.00%,0,0.00%,0,0.00%,2,5.26%,38
"",OTH,5,0.09%,3,0.05%,0,0.00%,0,0.00%,4,0.07%,2,0.04%,3,0.05%,5,0.09%,22,0.39%,"5,595"
"",REP,180,0.47%,125,0.32%,71,0.18%,58,0.15%,153,0.40%,176,0.45%,168,0.43%,264,0.68%,"1,195",3.09%,"38,687"
"",UNA,25,0.05%,25,0.05%,15,0.03%,22,0.05%,29,0.06%,27,0.06%,44,0.09%,66,0.14%,253,0.54%,"46,595"
"",TOTAL,"2,347",0.43%,"2,438",0.45%,"1,154",0.21%,"1,316",0.24%,"2,928",0.54%,"3,135",0.58%,"3,729",0.68%,"6,338",1.16%,"23,385",4.29%,"545,028"
Queen Anne's,DEM,79,0.72%,72,0.65%,40,0.36%,37,0.34%,85,0.77%,105,0.95%,111,1.01%,146,1.32%,675,6.12%,"11,029"
"",LIB,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
"",NLM,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
"",OTH,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
"",REP,167,0.84%,162,0.81%,67,0.34%,60,0.30%,218,1.09%,213,1.07%,214,1.07%,299,1.50%,"1,400",7.03%,"19,918"
County,"PARTYCODE",Day1,%Day1,Day2,%Day2,Day3,%Day3,Day4,% Day4,Day5,%Day5,Day6,%Day6,Day7,%Day7,Day8,%Day8,Total,%Total,"EligibleActives"
Queen Anne's,UNA,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
"",TOTAL,246,0.79%,234,0.76%,107,0.35%,97,0.31%,303,0.98%,318,1.03%,325,1.05%,445,1.44%,"2,075",6.71%,"30,947"
Saint Mary's,DEM,151,0.61%,145,0.59%,96,0.39%,91,0.37%,169,0.68%,201,0.81%,177,0.71%,287,1.16%,"1,317",5.32%,"24,778"
"",LIB,0,0.00%,0,0.00%,1,0.20%,1,0.20%,0,0.00%,0,0.00%,0,0.00%,1,0.20%,3,0.61%,494
"",NLM,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,16
"",OTH,2,0.24%,0,0.00%,1,0.12%,0,0.00%,2,0.24%,0,0.00%,1,0.12%,2,0.24%,8,0.95%,840
"",REP,334,1.05%,339,1.06%,207,0.65%,261,0.82%,325,1.02%,391,1.23%,398,1.25%,578,1.81%,"2,833",8.88%,"31,906"
"",UNA,17,0.10%,19,0.11%,16,0.09%,17,0.10%,19,0.11%,27,0.15%,22,0.12%,34,0.19%,171,0.97%,"17,709"
"",TOTAL,504,0.67%,503,0.66%,321,0.42%,370,0.49%,515,0.68%,619,0.82%,598,0.79%,902,1.19%,"4,332",5.72%,"75,743"
Somerset,DEM,23,0.43%,13,0.24%,2,0.04%,5,0.09%,19,0.35%,21,0.39%,23,0.43%,22,0.41%,128,2.37%,"5,410"
"",LIB,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
"",NLM,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
"",OTH,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
"",REP,41,0.67%,45,0.73%,30,0.49%,25,0.41%,33,0.54%,44,0.72%,44,0.72%,60,0.98%,322,5.25%,"6,137"
"",UNA,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
"",TOTAL,64,0.55%,58,0.50%,32,0.28%,30,0.26%,52,0.45%,65,0.56%,67,0.58%,82,0.71%,450,3.90%,"11,547"
Talbot,DEM,107,1.01%,80,0.76%,50,0.47%,39,0.37%,99,0.94%,93,0.88%,103,0.98%,137,1.30%,708,6.71%,"10,553"
"",LIB,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,19
"",NLM,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
"",OTH,0,0.00%,0,0.00%,0,0.00%,0,0.00%,1,2.00%,0,0.00%,0,0.00%,0,0.00%,1,2.00%,50
"",REP,157,1.35%,98,0.84%,69,0.59%,61,0.53%,124,1.07%,141,1.21%,111,0.96%,174,1.50%,935,8.05%,"11,608"
"",UNA,1,0.10%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,1,0.10%,0,0.00%,2,0.19%,"1,035"
"",TOTAL,265,1.14%,178,0.77%,119,0.51%,100,0.43%,224,0.96%,234,1.01%,215,0.92%,311,1.34%,"1,646",7.08%,"23,265"
Washington,DEM,113,0.37%,138,0.45%,106,0.34%,102,0.33%,176,0.57%,156,0.51%,199,0.65%,216,0.70%,"1,206",3.92%,"30,773"
"",LIB,0,0.00%,0,0.00%,1,0.15%,1,0.15%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,2,0.30%,656
"",NLM,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,1,14.29%,0,0.00%,0,0.00%,1,14.29%,7
"",OTH,4,0.34%,0,0.00%,1,0.08%,1,0.08%,2,0.17%,1,0.08%,3,0.25%,1,0.08%,13,1.10%,"1,185"
"",REP,222,0.50%,301,0.68%,202,0.46%,192,0.43%,382,0.86%,387,0.88%,329,0.74%,441,1.00%,"2,456",5.56%,"44,182"
"",UNA,7,0.03%,10,0.04%,9,0.04%,7,0.03%,25,0.11%,23,0.10%,26,0.11%,23,0.10%,130,0.55%,"23,540"
"",TOTAL,346,0.34%,449,0.45%,319,0.32%,303,0.30%,585,0.58%,568,0.57%,557,0.56%,681,0.68%,"3,808",3.79%,"100,343"
Wicomico,DEM,127,0.49%,97,0.37%,42,0.16%,69,0.26%,129,0.49%,114,0.44%,162,0.62%,164,0.63%,904,3.47%,"26,068"
"",LIB,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
County,"PARTYCODE",Day1,%Day1,Day2,%Day2,Day3,%Day3,Day4,% Day4,Day5,%Day5,Day6,%Day6,Day7,%Day7,Day8,%Day8,Total,%Total,"EligibleActives"
Wicomico,NLM,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
"",OTH,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
"",REP,155,0.65%,153,0.64%,61,0.26%,92,0.39%,212,0.89%,134,0.56%,153,0.64%,184,0.77%,"1,144",4.79%,"23,884"
"",UNA,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
"",TOTAL,282,0.56%,250,0.50%,103,0.21%,161,0.32%,341,0.68%,248,0.50%,315,0.63%,348,0.70%,"2,048",4.10%,"49,952"
Worcester,DEM,52,0.38%,50,0.37%,11,0.08%,22,0.16%,53,0.39%,58,0.43%,69,0.51%,60,0.44%,375,2.76%,"13,586"
"",LIB,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,28
"",NLM,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,1
"",OTH,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,84
"",REP,111,0.57%,118,0.61%,75,0.39%,69,0.35%,127,0.65%,118,0.61%,129,0.66%,110,0.57%,857,4.41%,"19,440"
"",UNA,0,0.00%,1,0.07%,0,0.00%,0,0.00%,2,0.14%,0,0.00%,2,0.14%,3,0.21%,8,0.57%,"1,397"
"",TOTAL,163,0.47%,169,0.49%,86,0.25%,91,0.26%,182,0.53%,176,0.51%,200,0.58%,173,0.50%,"1,240",3.59%,"34,536"
